code,company,start,end,count of date points
603336,宏辉果蔬,2017-7-05,2018-3-30,2
300511,雪榕生物,2018-5-29,2017-7-10,2
000597,东北制药,2018-5-22,2018-12-14,3
300465,高伟达,2017-9-15,2018-3-2,4
002721,金一文化,2018-5-29,2017-10-11,2
601618,中国中冶,2018-3-14,2018-3-30,2
601166,兴业银行,2018-5-29,2018-4-25,2
002736,国信证券,2018-5-22,2018-1-31,2
300596,利安隆,2018-5-28,2018-2-24,2
300250,初灵信息,2018-5-28,2019-2-14,2
300213,佳讯飞鸿,2018-5-28,2018-3-29,3
300411,金盾股份,2018-5-25,2018-5-24,3
002009,天奇股份,2018-12-13,2017-11-30,2
000791,甘肃电投,2018-4-9,2017-10-10,2
300562,乐心医疗,2018-5-25,2018-3-20,2
300452,山河药辅,2018-5-25,2018-3-13,2
603758,秦安股份,2018-5-25,2018-5-17,2
600458,时代新材,2017-11-22,2017-11-23,2
600986,科达股份,2017-11-08,2019-1-14,5
300534,陇神戎发,2018-5-11,2018-12-13,2
601318,中国平安,2018-4-27,2018-3-15,5
002318,久立特材,2017-4-18,2018-3-30,3
600919,江苏银行,2018-5-25,2018-5-22,2
002701,奥瑞金,2017-9-01,2018-3-14,3
002261,拓维信息,2017-11-22,2017-8-21,2
600803,新奥股份,2017-11-30,2017-7-17,2
601229,上海银行,2018-5-23,2018-5-29,2
002151,北斗星通,2018-4-11,2018-4-19,3
002591,恒大高新,2018-5-23,2018-2-24,2
300468,四方精创,2018-5-23,2018-3-15,2
600480,凌云股份,2017-9-20,2019-1-17,2
300288,朗玛信息,2017-6-15,2018-4-10,3
603067,振华股份,2018-4-20,2018-3-28,2
600759,洲际油气,2017-7-25,2017-6-12,2
000055,方大集团,2018-12-20,2017-6-01,5
000401,冀东水泥,2018-5-18,2018-5-25,6
300230,永利股份,2017-10-10,2018-1-18,3
002654,万润科技,2018-5-18,2018-3-27,2
600502,安徽水利,2017-11-08,2018-12-12,2
300415,伊之密,2018-5-17,2018-5-9,2
600801,华新水泥,2018-4-27,2018-2-28,3
300616,尚品宅配,2017-9-28,2018-4-9,2
000510,金路集团,2018-5-17,2017-8-17,5
603606,东方电缆,2019-1-23,2017-12-14,3
000566,海南海药,2018-5-17,2017-11-08,3
300042,朗科科技,2018-5-15,2017-12-14,3
300612,宣亚国际,2017-6-21,2018-4-20,2
002331,皖通科技,2018-5-15,2016-3-29,2
600074,*ST保千,2018-5-15,2019-1-30,2
000859,国风塑业,2019-1-22,2017-8-17,2
